frame,timestamp,personas
0,0.0,-470.7
2,0.067,-470.45
4,0.133,-470.37
6,0.2,-470.44
8,0.267,-470.37
10,0.333,-470.54
12,0.4,-470.52
14,0.467,-470.48
16,0.533,-470.39
18,0.6,-470.26
20,0.667,-470.44
22,0.733,-470.04
24,0.8,-470.04
26,0.867,-469.89
28,0.933,-469.95
30,1.0,-469.8
32,1.067,-469.99
34,1.133,-470.02
36,1.2,-470.0
38,1.267,-470.06
40,1.333,-470.06
42,1.4,-470.38
44,1.467,-470.27
46,1.533,-470.79
48,1.6,-470.35
50,1.667,-470.75
52,1.733,-470.8
54,1.8,-470.86
56,1.867,-470.83
58,1.933,-470.88
60,2.0,-471.08
62,2.067,-471.08
64,2.133,-470.49
66,2.2,-470.87
68,2.267,-470.69
70,2.333,-470.75
72,2.4,-470.86
74,2.467,-470.93
76,2.533,-471.0
78,2.6,-471.02
80,2.667,-471.67
82,2.733,-471.61
84,2.8,-471.48
86,2.867,-471.39
88,2.933,-471.24
90,3.0,-471.57
92,3.067,-471.08
94,3.133,-471.1
96,3.2,-470.84
98,3.267,-470.8
100,3.333,-470.75
102,3.4,-470.78
104,3.467,-470.85
106,3.533,-471.03
108,3.6,-471.08
110,3.667,-471.12
112,3.733,-470.82
114,3.8,-471.09
116,3.867,-471.2
118,3.933,-471.07
120,4.0,-471.18
122,4.067,-471.66
124,4.133,-471.68
126,4.2,-471.52
128,4.267,-470.77
130,4.333,-471.0
132,4.4,-470.98
134,4.467,-471.04
136,4.533,-470.99
138,4.6,-471.18
140,4.667,-471.71
142,4.733,-471.37
144,4.8,-471.59
146,4.867,-471.65
148,4.933,-471.55
150,5.0,-471.66
152,5.067,-471.57
154,5.133,-471.5
156,5.2,-471.47
158,5.267,-471.32
160,5.333,-471.3
162,5.4,-471.35
164,5.467,-471.23
166,5.533,-471.24
168,5.6,-471.23
170,5.667,-471.15
172,5.733,-471.2
174,5.8,-471.2
176,5.867,-471.3
178,5.933,-471.21
180,6.0,-471.22
182,6.067,-471.18
184,6.133,-471.19
186,6.2,-471.22
188,6.267,-471.25
190,6.333,-471.22
192,6.4,-471.1
194,6.467,-471.11
196,6.533,-471.25
198,6.6,-471.26
200,6.667,-471.22
202,6.733,-471.11
204,6.8,-470.99
206,6.867,-471.35
208,6.933,-471.54
210,7.0,-471.24
212,7.067,-470.93
214,7.133,-471.1
216,7.2,-471.15
218,7.267,-471.07
220,7.333,-471.08
222,7.4,-471.16
224,7.467,-471.14
226,7.533,-471.16
228,7.6,-471.2
230,7.667,-471.16
232,7.733,-471.18
234,7.8,-471.18
236,7.867,-471.18
238,7.933,-471.16
240,8.0,-471.14
242,8.067,-471.14
244,8.133,-471.12
246,8.2,-471.13
248,8.267,-471.13
250,8.333,-471.09
252,8.4,-471.11
254,8.467,-471.02
256,8.533,-471.04
258,8.6,-471.12
260,8.667,-471.17
262,8.733,-471.05
264,8.8,-471.06
266,8.867,-471.11
268,8.933,-471.12
270,9.0,-471.07
272,9.067,-471.08
274,9.133,-471.02
276,9.2,-470.98
278,9.267,-471.0
280,9.333,-470.95
282,9.4,-470.97
284,9.467,-471.04
286,9.533,-471.04
288,9.6,-471.04
290,9.667,-471.04
292,9.733,-471.04
294,9.8,-471.02
296,9.867,-471.06
298,9.933,-471.05
300,10.0,-471.07
302,10.067,-471.02
304,10.133,-471.11
306,10.2,-471.13
308,10.267,-471.12
310,10.333,-471.14
312,10.4,-471.18
314,10.467,-471.23
316,10.533,-471.26
318,10.6,-471.22
320,10.667,-471.1
322,10.733,-471.1
324,10.8,-471.14
326,10.867,-471.14
328,10.933,-471.27
330,11.0,-471.35
332,11.067,-471.25
334,11.133,-471.13
336,11.2,-471.15
338,11.267,-471.15
340,11.333,-471.31
342,11.4,-471.38
344,11.467,-471.42
346,11.533,-471.8
348,11.6,-471.72
350,11.667,-471.64
352,11.733,-471.44
354,11.8,-471.41
356,11.867,-471.4
358,11.933,-471.29
360,12.0,-471.04
362,12.067,-470.7
364,12.133,-471.03
366,12.2,-471.07
368,12.267,-471.04
370,12.333,-471.05
372,12.4,-471.21
374,12.467,-471.23
376,12.533,-471.14
378,12.6,-471.17
380,12.667,-471.15
382,12.733,-471.05
384,12.8,-471.06
386,12.867,-471.03
388,12.933,-471.11
390,13.0,-471.16
392,13.067,-471.04
394,13.133,-471.05
396,13.2,-471.04
398,13.267,-471.03
400,13.333,-471.06
402,13.4,-471.13
404,13.467,-471.11
406,13.533,-471.1
408,13.6,-471.09
410,13.667,-471.07
412,13.733,-471.12
414,13.8,-471.16
416,13.867,-471.19
418,13.933,-471.11
420,14.0,-471.15
422,14.067,-471.14
424,14.133,-471.19
426,14.2,-471.17
428,14.267,-471.15
430,14.333,-471.09
432,14.4,-471.14
434,14.467,-471.12
436,14.533,-471.16
438,14.6,-471.17
440,14.667,-471.15
442,14.733,-471.17
444,14.8,-471.14
446,14.867,-471.1
448,14.933,-471.16
450,15.0,-471.19
452,15.067,-471.12
454,15.133,-471.11
456,15.2,-471.2
458,15.267,-471.2
460,15.333,-471.2
462,15.4,-471.2
464,15.467,-471.19
466,15.533,-471.14
468,15.6,-471.13
470,15.667,-471.12
472,15.733,-471.18
474,15.8,-471.22
476,15.867,-471.16
478,15.933,-471.21
480,16.0,-471.24
482,16.067,-471.28
484,16.133,-471.29
486,16.2,-471.26
488,16.267,-471.22
490,16.333,-471.23
492,16.4,-471.24
494,16.467,-471.29
496,16.533,-471.35
498,16.6,-471.31
500,16.667,-471.07
502,16.733,-471.07
504,16.8,-471.09
506,16.867,-471.11
508,16.933,-471.11
510,17.0,-471.11
512,17.067,-471.11
514,17.133,-471.14
516,17.2,-471.2
518,17.267,-471.13
520,17.333,-471.11
522,17.4,-471.14
524,17.467,-471.11
526,17.533,-471.08
528,17.6,-471.07
530,17.667,-471.07
532,17.733,-471.1
534,17.8,-471.12
536,17.867,-471.09
538,17.933,-471.15
540,18.0,-471.12
542,18.067,-471.13
544,18.133,-471.16
546,18.2,-471.13
548,18.267,-471.11
550,18.333,-471.1
552,18.4,-471.12
554,18.467,-471.13
556,18.533,-471.15
558,18.6,-471.13
560,18.667,-471.14
562,18.733,-471.12
564,18.8,-471.09
566,18.867,-471.16
568,18.933,-471.11
570,19.0,-471.11
572,19.067,-471.04
574,19.133,-471.09
576,19.2,-471.12
578,19.267,-471.14
580,19.333,-471.19
582,19.4,-471.18
584,19.467,-471.19
586,19.533,-471.23
588,19.6,-471.24
590,19.667,-471.25
592,19.733,-471.22
594,19.8,-471.18
596,19.867,-471.17
598,19.933,-471.11
600,20.0,-471.07
602,20.067,-471.13
604,20.133,-471.11
606,20.2,-471.05
608,20.267,-471.08
610,20.333,-471.04
612,20.4,-471.13
614,20.467,-471.08
616,20.533,-471.06
618,20.6,-471.07
620,20.667,-471.07
622,20.733,-471.07
624,20.8,-471.13
626,20.867,-471.11
628,20.933,-471.11
630,21.0,-471.13
632,21.067,-471.07
634,21.133,-471.06
636,21.2,-471.07
638,21.267,-471.11
640,21.333,-471.11
642,21.4,-471.08
644,21.467,-471.01
646,21.533,-471.05
648,21.6,-471.04
650,21.667,-471.07
652,21.733,-471.06
654,21.8,-471.11
656,21.867,-471.06
658,21.933,-471.09
660,22.0,-471.09
662,22.067,-471.07
664,22.133,-471.0
666,22.2,-471.06
668,22.267,-470.98
670,22.333,-471.07
672,22.4,-471.08
674,22.467,-471.06
676,22.533,-471.07
678,22.6,-471.02
680,22.667,-471.01
682,22.733,-471.02
684,22.8,-471.01
686,22.867,-470.99
688,22.933,-471.04
690,23.0,-471.06
692,23.067,-471.09
694,23.133,-471.09
696,23.2,-471.08
698,23.267,-471.06
700,23.333,-471.1
702,23.4,-471.12
704,23.467,-471.18
706,23.533,-471.12
708,23.6,-471.12
710,23.667,-471.13
712,23.733,-471.1
714,23.8,-471.15
716,23.867,-471.14
718,23.933,-471.21
720,24.0,-471.29
722,24.067,-471.26
724,24.133,-471.26
726,24.2,-471.26
728,24.267,-471.22
730,24.333,-471.21
732,24.4,-471.22
734,24.467,-471.27
736,24.533,-471.29
738,24.6,-471.18
740,24.667,-471.12
742,24.733,-471.19
744,24.8,-471.18
746,24.867,-471.16
748,24.933,-471.13
750,25.0,-471.1
752,25.067,-471.11
754,25.133,-471.14
756,25.2,-471.09
758,25.267,-471.04
760,25.333,-471.13
762,25.4,-471.14
764,25.467,-471.07
766,25.533,-471.01
768,25.6,-471.03
770,25.667,-471.01
772,25.733,-471.02
774,25.8,-471.01
776,25.867,-471.0
778,25.933,-470.92
780,26.0,-470.99
782,26.067,-470.96
784,26.133,-471.08
786,26.2,-471.18
788,26.267,-471.09
790,26.333,-471.07
792,26.4,-471.09
794,26.467,-471.04
796,26.533,-471.13
798,26.6,-471.16
800,26.667,-471.16
802,26.733,-471.28
804,26.8,-471.31
806,26.867,-471.27
808,26.933,-471.25
810,27.0,-471.29
812,27.067,-471.25
814,27.133,-471.19
816,27.2,-471.23
818,27.267,-471.2
820,27.333,-471.18
822,27.4,-471.19
824,27.467,-471.24
826,27.533,-471.22
828,27.6,-471.22
830,27.667,-471.22
832,27.733,-471.22
834,27.8,-471.22
836,27.867,-471.16
838,27.933,-471.23
840,28.0,-471.3
842,28.067,-471.14
844,28.133,-471.24
846,28.2,-471.22
848,28.267,-471.11
850,28.333,-470.99
852,28.4,-471.12
854,28.467,-471.52
856,28.533,-471.68
858,28.6,-471.41
860,28.667,-471.0
862,28.733,-471.12
864,28.8,-471.27
866,28.867,-471.16
868,28.933,-471.13
870,29.0,-471.33
872,29.067,-471.17
874,29.133,-471.19
876,29.2,-471.13
878,29.267,-471.15
880,29.333,-471.2
882,29.4,-471.23
884,29.467,-471.24
886,29.533,-471.22
888,29.6,-471.23
890,29.667,-471.23
892,29.733,-471.27
894,29.8,-471.2
896,29.867,-471.27
898,29.933,-471.24
900,30.0,-471.23
902,30.067,-471.24
904,30.133,-471.31
906,30.2,-471.32
908,30.267,-471.31
910,30.333,-471.31
912,30.4,-471.39
914,30.467,-471.37
916,30.533,-471.37
918,30.6,-471.33
920,30.667,-471.36
922,30.733,-471.39
924,30.8,-471.42
926,30.867,-471.39
928,30.933,-471.48
930,31.0,-471.56
932,31.067,-471.62
934,31.133,-471.37
936,31.2,-471.35
938,31.267,-471.3
940,31.333,-471.41
942,31.4,-471.3
944,31.467,-471.33
946,31.533,-471.33
948,31.6,-471.39
950,31.667,-471.36
952,31.733,-471.34
954,31.8,-471.34
956,31.867,-471.3
958,31.933,-471.29
960,32.0,-471.26
962,32.067,-471.29
964,32.133,-471.34
966,32.2,-471.3
968,32.267,-471.31
970,32.333,-471.32
972,32.4,-471.31
974,32.467,-471.29
976,32.533,-471.25
978,32.6,-471.3
980,32.667,-471.33
982,32.733,-471.32
984,32.8,-471.36
986,32.867,-471.42
988,32.933,-471.38
990,33.0,-471.36
992,33.067,-471.43
994,33.133,-471.39
996,33.2,-471.43
998,33.267,-471.32
1000,33.333,-470.89
1002,33.4,-470.92
1004,33.467,-471.11
1006,33.533,-471.7
1008,33.6,-471.63
1010,33.667,-471.44
1012,33.733,-470.92
1014,33.8,-471.09
1016,33.867,-471.25
1018,33.933,-471.22
1020,34.0,-471.26
1022,34.067,-471.07
1024,34.133,-471.15
1026,34.2,-471.22
1028,34.267,-471.19
1030,34.333,-471.19
1032,34.4,-471.19
1034,34.467,-471.17
1036,34.533,-471.26
1038,34.6,-471.27
1040,34.667,-471.32
1042,34.733,-471.29
1044,34.8,-471.25
1046,34.867,-471.28
1048,34.933,-471.32
1050,35.0,-471.31
1052,35.067,-471.31
1054,35.133,-471.34
1056,35.2,-471.33
1058,35.267,-471.33
1060,35.333,-471.27
1062,35.4,-471.3
1064,35.467,-471.35
1066,35.533,-471.28
1068,35.6,-471.27
1070,35.667,-471.26
1072,35.733,-471.24
1074,35.8,-471.29
1076,35.867,-471.39
1078,35.933,-471.35
1080,36.0,-471.39
1082,36.067,-471.35
1084,36.133,-471.35
1086,36.2,-471.3
1088,36.267,-471.39
1090,36.333,-471.36
1092,36.4,-471.32
1094,36.467,-471.25
1096,36.533,-471.32
1098,36.6,-471.32
1100,36.667,-471.34
1102,36.733,-471.3
1104,36.8,-471.29
1106,36.867,-471.28
1108,36.933,-471.31
1110,37.0,-471.32
1112,37.067,-471.34
1114,37.133,-471.33
1116,37.2,-471.3
1118,37.267,-471.18
1120,37.333,-471.56
1122,37.4,-471.63
1124,37.467,-471.68
1126,37.533,-471.71
1128,37.6,-471.44
1130,37.667,-471.18
1132,37.733,-470.99
1134,37.8,-470.95
1136,37.867,-470.93
1138,37.933,-471.1
1140,38.0,-471.2
1142,38.067,-471.21
1144,38.133,-471.27
1146,38.2,-471.3
1148,38.267,-471.28
1150,38.333,-471.35
1152,38.4,-471.3
1154,38.467,-471.28
1156,38.533,-471.34
1158,38.6,-471.33
1160,38.667,-471.25
1162,38.733,-471.31
1164,38.8,-471.31
1166,38.867,-471.3
1168,38.933,-471.3
1170,39.0,-471.33
1172,39.067,-471.28
1174,39.133,-471.08
1176,39.2,-471.19
1178,39.267,-471.12
1180,39.333,-471.17
1182,39.4,-471.4
1184,39.467,-471.3
1186,39.533,-471.49
1188,39.6,-471.81
1190,39.667,-471.93
1192,39.733,-471.88
1194,39.8,-471.72
1196,39.867,-471.68
1198,39.933,-471.54
1200,40.0,-471.53
1202,40.067,-471.43
1204,40.133,-471.31
1206,40.2,-471.36
1208,40.267,-471.25
1210,40.333,-471.21
1212,40.4,-471.27
1214,40.467,-471.19
1216,40.533,-471.27
1218,40.6,-471.4
1220,40.667,-471.45
1222,40.733,-471.39
1224,40.8,-471.33
1226,40.867,-471.36
1228,40.933,-471.19
1230,41.0,-471.39
1232,41.067,-471.55
1234,41.133,-471.67
1236,41.2,-471.17
1238,41.267,-471.28
1240,41.333,-471.28
1242,41.4,-471.36
1244,41.467,-471.33
1246,41.533,-471.35
1248,41.6,-471.3
1250,41.667,-471.12
1252,41.733,-471.14
1254,41.8,-471.15
1256,41.867,-471.19
1258,41.933,-471.15
1260,42.0,-471.15
1262,42.067,-471.16
1264,42.133,-471.2
1266,42.2,-471.22
1268,42.267,-471.27
1270,42.333,-471.32
1272,42.4,-471.26
1274,42.467,-471.23
1276,42.533,-471.28
1278,42.6,-471.31
1280,42.667,-471.3
1282,42.733,-471.26
1284,42.8,-471.26
1286,42.867,-471.29
1288,42.933,-471.32
1290,43.0,-471.35
1292,43.067,-471.3
1294,43.133,-471.3
1296,43.2,-471.29
1298,43.267,-471.32
1300,43.333,-471.34
1302,43.4,-471.36
1304,43.467,-471.38
1306,43.533,-471.37
1308,43.6,-471.44
1310,43.667,-471.45
1312,43.733,-471.43
1314,43.8,-471.42
1316,43.867,-471.41
1318,43.933,-471.41
1320,44.0,-471.42
1322,44.067,-471.43
1324,44.133,-471.41
1326,44.2,-471.4
1328,44.267,-471.38
1330,44.333,-471.46
1332,44.4,-471.37
1334,44.467,-471.38
1336,44.533,-471.39
1338,44.6,-471.38
1340,44.667,-471.32
1342,44.733,-471.38
1344,44.8,-471.33
1346,44.867,-471.32
1348,44.933,-471.32
1350,45.0,-471.38
1352,45.067,-471.38
1354,45.133,-471.4
1356,45.2,-471.41
1358,45.267,-471.43
1360,45.333,-471.46
1362,45.4,-471.42
1364,45.467,-471.4
1366,45.533,-471.39
1368,45.6,-471.42
1370,45.667,-471.47
1372,45.733,-471.41
1374,45.8,-471.39
1376,45.867,-471.42
1378,45.933,-471.45
1380,46.0,-471.45
1382,46.067,-471.43
1384,46.133,-471.47
1386,46.2,-471.42
1388,46.267,-471.45
1390,46.333,-471.46
1392,46.4,-471.42
1394,46.467,-471.39
1396,46.533,-471.42
1398,46.6,-471.44
1400,46.667,-471.45
1402,46.733,-471.41
1404,46.8,-471.44
1406,46.867,-471.42
1408,46.933,-471.42
1410,47.0,-471.43
1412,47.067,-471.41
1414,47.133,-471.45
1416,47.2,-471.44
1418,47.267,-471.43
1420,47.333,-471.4
1422,47.4,-471.46
1424,47.467,-471.43
1426,47.533,-471.4
1428,47.6,-471.39
1430,47.667,-471.41
1432,47.733,-471.34
1434,47.8,-471.35
1436,47.867,-471.35
1438,47.933,-471.42
1440,48.0,-471.34
1442,48.067,-471.32
1444,48.133,-471.3
1446,48.2,-471.33
1448,48.267,-471.27
1450,48.333,-471.32
1452,48.4,-471.3
1454,48.467,-471.28
1456,48.533,-471.32
1458,48.6,-471.32
1460,48.667,-471.35
1462,48.733,-471.34
1464,48.8,-471.33
1466,48.867,-471.3
1468,48.933,-471.27
1470,49.0,-471.31
1472,49.067,-471.29
1474,49.133,-471.36
1476,49.2,-471.35
1478,49.267,-471.36
1480,49.333,-471.38
1482,49.4,-471.35
1484,49.467,-471.31
1486,49.533,-471.37
1488,49.6,-471.33
1490,49.667,-471.33
1492,49.733,-471.34
1494,49.8,-471.31
1496,49.867,-471.31
1498,49.933,-471.33
1500,50.0,-471.14
1502,50.067,-471.2
1504,50.133,-471.22
1506,50.2,-471.21
1508,50.267,-471.15
1510,50.333,-471.12
1512,50.4,-471.15
1514,50.467,-471.15
1516,50.533,-471.13
1518,50.6,-471.12
1520,50.667,-471.16
1522,50.733,-471.13
1524,50.8,-471.14
1526,50.867,-471.04
1528,50.933,-471.17
1530,51.0,-471.08
1532,51.067,-471.13
1534,51.133,-471.11
1536,51.2,-471.14
1538,51.267,-471.09
1540,51.333,-471.14
1542,51.4,-471.12
1544,51.467,-471.17
1546,51.533,-471.13
1548,51.6,-471.14
1550,51.667,-471.14
1552,51.733,-471.21
